image,superclass_index,subclass_index,description
23.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
24.jpg,1,62,"nature photograph of a dog, specifically a Afghan hound, Afghan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
25.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
26.jpg,2,47,"nature photograph of a reptile, specifically a Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
27.jpg,0,40,"nature photograph of a bird, specifically a red-backed sandpiper, dunlin, Erolia alpina, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
28.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
29.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
30.jpg,1,22,"nature photograph of a dog, specifically a Japanese spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
31.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
32.jpg,1,17,"nature photograph of a dog, specifically a cairn, cairn terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
33.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
34.jpg,2,52,"nature photograph of a reptile, specifically a triceratops, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
35.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
36.jpg,0,28,"nature photograph of a bird, specifically a black grouse, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
37.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
38.jpg,1,22,"nature photograph of a dog, specifically a Japanese spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
39.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
40.jpg,1,46,"nature photograph of a dog, specifically a papillon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
41.jpg,0,19,"nature photograph of a bird, specifically a brambling, Fringilla montifringilla, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
42.jpg,2,55,"nature photograph of a reptile, specifically a loggerhead, loggerhead turtle, Caretta caretta, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
43.jpg,2,76,"nature photograph of a reptile, specifically a green snake, grass snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
44.jpg,0,30,"nature photograph of a bird, specifically a vulture, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
45.jpg,0,84,"nature photograph of a bird, specifically a magpie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
46.jpg,0,59,"nature photograph of a bird, specifically a house finch, linnet, Carpodacus mexicanus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
47.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
48.jpg,0,40,"nature photograph of a bird, specifically a red-backed sandpiper, dunlin, Erolia alpina, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
49.jpg,1,17,"nature photograph of a dog, specifically a cairn, cairn terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
50.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
51.jpg,2,71,"nature photograph of a reptile, specifically a Gila monster, Heloderma suspectum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
52.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
53.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
54.jpg,0,75,"nature photograph of a bird, specifically a chickadee, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
55.jpg,2,48,"nature photograph of a reptile, specifically a American chameleon, anole, Anolis carolinensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
56.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
57.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
58.jpg,1,70,"nature photograph of a dog, specifically a toy terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
59.jpg,1,36,"nature photograph of a dog, specifically a basset, basset hound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
60.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
61.jpg,2,1,"nature photograph of a reptile, specifically a African chameleon, Chamaeleo chamaeleon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
62.jpg,0,8,"nature photograph of a bird, specifically a hen, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
63.jpg,1,2,"nature photograph of a dog, specifically a standard schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
64.jpg,2,1,"nature photograph of a reptile, specifically a African chameleon, Chamaeleo chamaeleon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
65.jpg,2,67,"nature photograph of a reptile, specifically a banded gecko, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
66.jpg,1,62,"nature photograph of a dog, specifically a Afghan hound, Afghan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
67.jpg,1,85,"nature photograph of a dog, specifically a miniature schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
68.jpg,0,84,"nature photograph of a bird, specifically a magpie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
69.jpg,1,21,"nature photograph of a dog, specifically a Chihuahua, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
70.jpg,1,46,"nature photograph of a dog, specifically a papillon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
71.jpg,0,16,"nature photograph of a bird, specifically a cock, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
72.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
73.jpg,2,63,"nature photograph of a reptile, specifically a bullfrog, Rana catesbeiana, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
74.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
75.jpg,1,10,"nature photograph of a dog, specifically a Lakeland terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
76.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
77.jpg,0,80,"nature photograph of a bird, specifically a American coot, marsh hen, mud hen, water hen, Fulica americana, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
78.jpg,1,79,"nature photograph of a dog, specifically a Boston bull, Boston terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
79.jpg,1,10,"nature photograph of a dog, specifically a Lakeland terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
80.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
81.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
82.jpg,2,47,"nature photograph of a reptile, specifically a Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
83.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
84.jpg,0,78,"nature photograph of a bird, specifically a indigo bunting, indigo finch, indigo bird, Passerina cyanea, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
85.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
86.jpg,0,28,"nature photograph of a bird, specifically a black grouse, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
87.jpg,2,3,"nature photograph of a reptile, specifically a terrapin, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
88.jpg,1,31,"nature photograph of a dog, specifically a Shih-Tzu, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
89.jpg,0,41,"nature photograph of a bird, specifically a redshank, Tringa totanus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
90.jpg,1,54,"nature photograph of a dog, specifically a West Highland white terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
91.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
92.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
93.jpg,1,22,"nature photograph of a dog, specifically a Japanese spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
94.jpg,0,86,"nature photograph of a bird, specifically a European gallinule, Porphyrio porphyrio, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
95.jpg,2,34,"nature photograph of a reptile, specifically a tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
96.jpg,0,59,"nature photograph of a bird, specifically a house finch, linnet, Carpodacus mexicanus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
97.jpg,0,27,"nature photograph of a bird, specifically a water ouzel, dipper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
98.jpg,1,62,"nature photograph of a dog, specifically a Afghan hound, Afghan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
99.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
100.jpg,0,60,"nature photograph of a bird, specifically a goldfinch, Carduelis carduelis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
101.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
102.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
103.jpg,1,38,"nature photograph of a dog, specifically a Sealyham terrier, Sealyham, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
104.jpg,0,84,"nature photograph of a bird, specifically a magpie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
105.jpg,2,1,"nature photograph of a reptile, specifically a African chameleon, Chamaeleo chamaeleon, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
106.jpg,0,84,"nature photograph of a bird, specifically a magpie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
107.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
108.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
109.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
110.jpg,2,47,"nature photograph of a reptile, specifically a Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
111.jpg,1,7,"nature photograph of a dog, specifically a Pekinese, Pekingese, Peke, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
112.jpg,1,0,"nature photograph of a dog, specifically a Scotch terrier, Scottish terrier, Scottie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
113.jpg,1,79,"nature photograph of a dog, specifically a Boston bull, Boston terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
114.jpg,1,70,"nature photograph of a dog, specifically a toy terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
115.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
116.jpg,1,70,"nature photograph of a dog, specifically a toy terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
117.jpg,2,44,"nature photograph of a reptile, specifically a hognose snake, puff adder, sand viper, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
118.jpg,1,53,"nature photograph of a dog, specifically a soft-coated wheaten terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
119.jpg,2,71,"nature photograph of a reptile, specifically a Gila monster, Heloderma suspectum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
120.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
121.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
122.jpg,0,86,"nature photograph of a bird, specifically a European gallinule, Porphyrio porphyrio, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
123.jpg,2,66,"nature photograph of a reptile, specifically a green lizard, Lacerta viridis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
124.jpg,0,42,"nature photograph of a bird, specifically a oystercatcher, oyster catcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
125.jpg,1,0,"nature photograph of a dog, specifically a Scotch terrier, Scottish terrier, Scottie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
126.jpg,0,78,"nature photograph of a bird, specifically a indigo bunting, indigo finch, indigo bird, Passerina cyanea, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
127.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
128.jpg,0,14,"nature photograph of a bird, specifically a junco, snowbird, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
129.jpg,2,52,"nature photograph of a reptile, specifically a triceratops, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
130.jpg,0,82,"nature photograph of a bird, specifically a ruddy turnstone, Arenaria interpres, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
131.jpg,2,35,"nature photograph of a reptile, specifically a thunder snake, worm snake, Carphophis amoenus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
132.jpg,0,14,"nature photograph of a bird, specifically a junco, snowbird, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
133.jpg,0,51,"nature photograph of a bird, specifically a ostrich, Struthio camelus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
134.jpg,2,52,"nature photograph of a reptile, specifically a triceratops, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
135.jpg,1,18,"nature photograph of a dog, specifically a Blenheim spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
136.jpg,1,45,"nature photograph of a dog, specifically a Australian terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
137.jpg,2,74,"nature photograph of a reptile, specifically a whiptail, whiptail lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
138.jpg,1,22,"nature photograph of a dog, specifically a Japanese spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
139.jpg,0,30,"nature photograph of a bird, specifically a vulture, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
140.jpg,2,76,"nature photograph of a reptile, specifically a green snake, grass snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
141.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
142.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
143.jpg,2,71,"nature photograph of a reptile, specifically a Gila monster, Heloderma suspectum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
144.jpg,2,63,"nature photograph of a reptile, specifically a bullfrog, Rana catesbeiana, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
145.jpg,2,74,"nature photograph of a reptile, specifically a whiptail, whiptail lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
146.jpg,1,65,"nature photograph of a dog, specifically a beagle, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
147.jpg,0,59,"nature photograph of a bird, specifically a house finch, linnet, Carpodacus mexicanus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
148.jpg,2,29,"nature photograph of a reptile, specifically a spotted salamander, Ambystoma maculatum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
149.jpg,1,23,"nature photograph of a dog, specifically a Dandie Dinmont, Dandie Dinmont terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
150.jpg,0,40,"nature photograph of a bird, specifically a red-backed sandpiper, dunlin, Erolia alpina, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
151.jpg,0,56,"nature photograph of a bird, specifically a bulbul, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
152.jpg,2,58,"nature photograph of a reptile, specifically a African crocodile, Nile crocodile, Crocodylus niloticus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
153.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
154.jpg,1,38,"nature photograph of a dog, specifically a Sealyham terrier, Sealyham, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
155.jpg,0,84,"nature photograph of a bird, specifically a magpie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
156.jpg,1,38,"nature photograph of a dog, specifically a Sealyham terrier, Sealyham, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
157.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
158.jpg,0,20,"nature photograph of a bird, specifically a king penguin, Aptenodytes patagonica, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
159.jpg,1,32,"nature photograph of a dog, specifically a giant schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
160.jpg,0,26,"nature photograph of a bird, specifically a albatross, mollymawk, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
161.jpg,1,36,"nature photograph of a dog, specifically a basset, basset hound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
162.jpg,0,6,"nature photograph of a bird, specifically a ptarmigan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
163.jpg,2,72,"nature photograph of a reptile, specifically a axolotl, mud puppy, Ambystoma mexicanum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
164.jpg,0,4,"nature photograph of a bird, specifically a great grey owl, great gray owl, Strix nebulosa, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
165.jpg,1,36,"nature photograph of a dog, specifically a basset, basset hound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
166.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
167.jpg,0,82,"nature photograph of a bird, specifically a ruddy turnstone, Arenaria interpres, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
168.jpg,1,31,"nature photograph of a dog, specifically a Shih-Tzu, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
169.jpg,1,2,"nature photograph of a dog, specifically a standard schnauzer, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
170.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
171.jpg,0,75,"nature photograph of a bird, specifically a chickadee, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
172.jpg,0,86,"nature photograph of a bird, specifically a European gallinule, Porphyrio porphyrio, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
173.jpg,0,4,"nature photograph of a bird, specifically a great grey owl, great gray owl, Strix nebulosa, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
174.jpg,2,71,"nature photograph of a reptile, specifically a Gila monster, Heloderma suspectum, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
175.jpg,1,31,"nature photograph of a dog, specifically a Shih-Tzu, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
176.jpg,2,67,"nature photograph of a reptile, specifically a banded gecko, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
177.jpg,1,22,"nature photograph of a dog, specifically a Japanese spaniel, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
178.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
179.jpg,0,78,"nature photograph of a bird, specifically a indigo bunting, indigo finch, indigo bird, Passerina cyanea, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
180.jpg,1,25,"nature photograph of a dog, specifically a Airedale, Airedale terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
181.jpg,2,69,"nature photograph of a reptile, specifically a tree frog, tree-frog, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
182.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
183.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
184.jpg,2,74,"nature photograph of a reptile, specifically a whiptail, whiptail lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
185.jpg,1,21,"nature photograph of a dog, specifically a Chihuahua, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
186.jpg,2,52,"nature photograph of a reptile, specifically a triceratops, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
187.jpg,0,24,"nature photograph of a bird, specifically a bald eagle, American eagle, Haliaeetus leucocephalus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
188.jpg,2,76,"nature photograph of a reptile, specifically a green snake, grass snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
189.jpg,2,81,"nature photograph of a reptile, specifically a ringneck snake, ring-necked snake, ring snake, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
190.jpg,0,8,"nature photograph of a bird, specifically a hen, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
191.jpg,0,19,"nature photograph of a bird, specifically a brambling, Fringilla montifringilla, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
192.jpg,1,21,"nature photograph of a dog, specifically a Chihuahua, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
193.jpg,0,84,"nature photograph of a bird, specifically a magpie, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
